"ENTREZID","SYMBOL","logFC","logCPM","LR","PValue","FDR"
88,"ACTN2",0.153070169906482,1.65365822586325,0.216138747353152,0.641997881288459,0.73111772382998
84908,"FAM136A",0.0905925253553751,4.72975359081936,0.216067527770261,0.642052740903668,0.73111772382998
54059,"YBEY",0.142128371771864,1.89750876922915,0.21507686409924,0.642816980182222,0.73192314262555
136051,"ZNF786",-0.146437698115336,1.89659535837739,0.214961173722607,0.642906367947648,0.731960088563193
64925,"CCDC71",-0.179665140085173,3.64171275241099,0.214608148215969,0.643179312647503,0.73220599221428
26229,"B3GAT3",-0.109994559443753,4.1957376079035,0.213639263189682,0.643929818156355,0.732995467316032
57171,"DOLPP1",-0.133247641115172,3.58674989839071,0.213194231636965,0.644275235254563,0.733323724915655
30851,"TAX1BP3",0.081634122332342,5.66848302432855,0.213053311362222,0.644384703553242,0.733383387709334
131870,"NUDT16",0.0900052099776515,4.29556642741028,0.212500810530958,0.644814315898685,0.733807368172591
60492,"CCDC90B",-0.0860409342752184,5.29719605538549,0.212388768595666,0.644901519782983,0.733841642631694
4302,"MLLT6",0.0974189191978595,7.08015149079748,0.212023416456304,0.645186072590784,0.734100456997215
81559,"TRIM11",0.0720570238730114,5.39268549346412,0.211682979230324,0.645451488102038,0.734337452832259
58491,"ZNF71",0.129932256703741,2.12434585532332,0.21132477940577,0.645731031234267,0.734590478452788
55122,"AKIRIN2",-0.0910581517118342,5.36086383983082,0.210403302161621,0.646451483436272,0.735288266116313
8544,"PIR",0.104884498717593,4.48740242127075,0.210358673886338,0.646486424270805,0.735288266116313
57650,"CIP2A",0.151752657305515,3.01290780736533,0.210255609692329,0.646567133510242,0.735288266116313
401577,"CD99P1",-0.143697412370269,2.28378110552112,0.210200835347155,0.646610036867078,0.735288266116313
51280,"GOLM1",0.123449532121871,3.82764738733143,0.210174835328235,0.646630404390892,0.735288266116313
80045,"GPR157",0.102753253511173,5.54762501451735,0.209965337538744,0.646794573438812,0.735409892230313
3107,"HLA-C",-0.56252382110016,8.60019441473526,0.209000049347225,0.647552286421215,0.736206300693793
200933,"FBXO45",0.0949950804583473,4.52379806885968,0.208239272643235,0.648150958050981,0.736821769167436
130814,"SLC66A3",-0.0851048877511753,5.95216058384963,0.207755086692536,0.648532662830046,0.73719050143074
10666,"CD226",-0.128362903665455,4.34772273199065,0.207509855959522,0.648726193824876,0.737345289267797
254531,"LPCAT4",-0.203199895848086,1.33167374696551,0.207340378534468,0.648860022589554,0.737403926937402
120224,"TMEM45B",0.0914964667849978,3.75967584961257,0.207283038285365,0.648905316577643,0.737403926937402
648791,"PPP1R3G",0.157514005903618,2.29549655512532,0.207226640313253,0.64894987362449,0.737403926937402
54454,"ATAD2B",-0.131236748282856,4.88565435237621,0.20680455927809,0.649283570059425,0.737705889735733
199221,"DZIP1L",-0.131649091511451,3.38307312220346,0.206680695709384,0.649381574341844,0.737705889735733
4053,"LTBP2",0.0891178587054856,4.13027690406535,0.206672860398014,0.649387775048585,0.737705889735733
4830,"NME1",-0.096398477037068,5.03808237261363,0.206412885111325,0.649593594698339,0.737811517369845
135112,"NCOA7",0.0901413411978523,5.90296407940224,0.206348913969865,0.649644263936434,0.737811517369845
27301,"APEX2",-0.0796229550682993,4.17617643008777,0.206337959326194,0.649652941665444,0.737811517369845
2801,"GOLGA2",-0.0815369747793163,7.30453194815315,0.20620545193588,0.649757929508034,0.737818637583217
64282,"TENT4B",0.0747486121049586,6.05785478506159,0.206124484876824,0.649822101104385,0.737818637583217
1933,"EEF1B2",-0.0825312698044637,8.18899516884514,0.206112756964595,0.649831397488696,0.737818637583217
283951,"C16orf91",0.229940047408843,2.10128261535805,0.205944837735338,0.649964537306949,0.737904630140495
275,"AMT",0.191826047482299,2.02163068534576,0.205784457751923,0.650091760535508,0.737929667562015
9818,"NUP58",0.0780085405604058,5.47091361465,0.205772310295288,0.650101399077387,0.737929667562015
9372,"ZFYVE9",0.161618708117518,1.26829546110783,0.20567417437919,0.650179278753307,0.737952907325955
50,"ACO2",0.132003807987345,7.35428351348292,0.205187841240438,0.650565558770325,0.738326146198687
5165,"PDK3",0.121992801780992,4.58492770915452,0.205042143517574,0.650681389550245,0.738392413724258
116138,"KLHDC3",0.126366951877427,5.08583053073686,0.204799717605788,0.650874229917991,0.738523280733356
29108,"PYCARD",-0.101812189041222,7.05443586485321,0.204752743514963,0.65091161187934,0.738523280733356
9807,"IP6K1",0.0872134233285241,4.47070828647832,0.204005044372118,0.651507327272517,0.739133941583991
1540,"CYLD",0.0734928019622962,5.78785294572371,0.203654286419203,0.651787240159539,0.739386248874945
255104,"TMCO4",-0.115837696527834,3.30930877665744,0.203453539612125,0.65194757128056,0.739498230048029
NA,NA,-0.173767648264964,1.76441933393882,0.203386661025643,0.652001006562766,0.739498230048029
1069,"CETN2",0.0867136355343391,4.82129872244031,0.202986310511339,0.65232110365044,0.739796011241853
